DASYLab - V 12.00.01
Worksheet name: RSG 400K RS232 - MASTER
Recording date     : 5/20/2014,  7:32:23 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 2
Measurement time[s]	Disp [in]	Load [lb]	
61.2	0.96150	55700	
61.3	0.96220	55800	
61.4	0.96320	56000	
61.5	0.96400	56100	
61.6	0.96470	56200	
61.7	0.96570	56400	
61.8	0.96650	56400	
61.9	0.96720	56600	
62.0	0.96820	56800	
62.1	0.96900	56800	
62.2	0.96970	56900	
62.3	0.97070	57100	
62.4	0.97150	57200	
62.5	0.97250	57300	
62.6	0.97320	57400	
62.7	0.97400	57600	
62.8	0.97500	57600	
62.9	0.97570	57800	
63.0	0.97650	57900	
63.1	0.97750	58000	
63.2	0.97820	58100	
63.3	0.97920	58200	
63.4	0.98000	58400	
63.5	0.98070	58400	
63.6	0.98170	58500	
63.7	0.98250	58700	
63.8	0.98320	58800	
63.9	0.98420	58800	
64.0	0.98500	59000	
64.1	0.98600	59100	
64.2	0.98670	59200	
64.3	0.98750	59300	
64.4	0.98850	59400	
64.5	0.98920	59500	
64.6	0.99020	59600	
64.7	0.99100	59700	
64.8	0.99170	59800	
64.9	0.99270	60000	
65.0	0.99350	60000	
65.1	0.99450	60100	
65.2	0.99520	60200	
65.3	0.99600	60300	
65.4	0.99700	60400	
65.5	0.99770	60500	
65.6	0.99850	60600	
65.7	0.99950	60700	
65.8	1.00020	60800	
65.9	1.00130	60800	
66.0	1.00200	61000	
66.1	1.00300	61100	
66.2	1.00380	61200	
66.3	1.00450	61200	
66.4	1.00530	61300	
66.5	1.00630	61400	
66.6	1.00700	61600	
66.7	1.00780	61600	
66.8	1.00880	61700	
66.9	1.00950	61800	
67.0	1.01030	61900	
67.1	1.01100	62000	
67.2	1.01200	62000	
67.3	1.01280	62100	
67.4	1.01350	62200	
67.5	1.01450	62300	
67.6	1.01530	62400	
67.7	1.01630	62400	
67.8	1.01700	62500	
67.9	1.01780	62600	
68.0	1.01880	62700	
68.1	1.01950	62800	
68.2	1.02030	62800	
68.3	1.02130	62900	
68.4	1.02200	63000	
68.5	1.02300	63100	
68.6	1.02380	63200	
68.7	1.02450	63200	
68.8	1.02550	63300	
68.9	1.02630	63300	
69.0	1.02730	63500	
69.1	1.02800	63500	
69.2	1.02880	63600	
69.3	1.02980	63600	
69.4	1.03050	63700	
69.5	1.03150	63800	
69.6	1.03230	63900	
69.7	1.03300	64000	
69.8	1.03400	64000	
69.9	1.03480	64000	
70.0	1.03580	64100	
70.1	1.03650	64200	
70.2	1.03750	64300	
70.3	1.03830	64400	
70.4	1.03930	64400	
70.5	1.04000	64500	
70.6	1.04080	64500	
70.7	1.04180	64600	
70.8	1.04250	64700	
70.9	1.04350	64800	
71.0	1.04430	64800	
71.1	1.04530	64800	
71.2	1.04600	64900	
71.3	1.04700	65000	
71.4	1.04780	65100	
71.5	1.04880	65100	
71.6	1.04950	65200	
71.7	1.05060	65200	
71.8	1.05130	65300	
71.9	1.05210	65300	
72.0	1.05310	65400	
72.1	1.05380	65500	
72.2	1.05480	65600	
72.3	1.05560	65600	
72.4	1.05660	65600	
72.5	1.05730	65700	
72.6	1.05810	65800	
72.7	1.05910	65800	
72.8	1.05980	65900	
72.9	1.06080	66000	
73.0	1.06160	66000	
73.1	1.06230	66000	
73.2	1.06330	66100	
73.3	1.06410	66100	
73.4	1.06510	66200	
73.5	1.06580	66300	
73.6	1.06660	66300	
73.7	1.06760	66400	
73.8	1.06830	66400	
73.9	1.06910	66400	
74.0	1.07010	66500	
74.1	1.07080	66600	
74.2	1.07160	66600	
74.3	1.07260	66700	
74.4	1.07330	66700	
74.5	1.07410	66800	
74.6	1.07510	66800	
74.7	1.07580	66800	
74.8	1.07680	66900	
74.9	1.07760	66900	
75.0	1.07830	67000	
75.1	1.07910	67100	
75.2	1.07980	67100	
75.3	1.08080	67200	
75.4	1.08130	67200	
75.5	1.08210	67200	
75.6	1.08310	67300	
75.7	1.08380	67300	
75.8	1.08480	67400	
75.9	1.08560	67400	
76.0	1.08660	67500	
76.1	1.08730	67500	
76.2	1.08810	67600	
76.3	1.08910	67600	
